"","artist.hotttnesss","bars_start","beats_start","duration","end_of_fade_in","loudness","song.hotttnesss","start_of_fade_out","tatums_start","tempo","terms","time_signature"
"42",0.467538444,0.90181,0.38075,95.68608,0,-2.022,0.528782481,87.806,0.12215,115.887,"ska punk",4
"43",0.735765693,0.15016,0.15016,271.49016,0.171,-10.358,0.83449262,263.784,0.15016,139.333,"blues",1
"44",0.350078579,0.86592,0.34973,226.66404,0.311,-12.716,0,219.51,0.34973,117.271,"salsa",4
"45",0.442765842,1.56662,0.37554,190.48444,0.258,-15.663,0.510119314,177.029,0.37554,102.428,"modern rock",4
"46",0.466628889,0.93659,0.275,277.78567,0.24,-6.944,0.482137585,267.453,0.275,89.984,"delta blues",4
"47",0.544257506,0.74277,0.2077,248.78975,0.183,-7.805,NA,246.19,0.2077,116.721,"texas blues",4
"48",0.452817838,0.32071,0.32071,195.3171,0,-10.7,NA,187.617,0.32071,123.142,"blues",4
"49",0.394217199,0.74575,0.32409,175.72526,0.734,-10.93,0.785892288,168.699,0.11431,141.919,"trip hop",4
"50",0.33457736,0.47086,0.47086,217.23383,1.042,-9.493,NA,213.496,0.15342,95.596,"hardcore techno",4
"51",0.479308459,0.12284,0.12284,344.05832,0.068,-9.253,0.561692411,335.029,0.12284,154.953,"glam rock",1
"52",0.427914247,2.90946,0.14772,251.42812,0.071,-12.009,0.43483809,237.598,0.14772,86.091,"brazilian jazz",5
"53",0.412240601,0.34237,0.34237,269.7922,0.218,-11.043,0.405115722,257.416,0.34237,90.218,"gangster rap",4
"54",0.40439264,0.05314,0.05314,206.05342,0,-11.506,NA,206.053,0.05314,133.144,"rock",1
"55",0.383475745,0.31943,0.02559,190.04036,0,-14.179,NA,176.924,0.02559,205.317,"brazilian jazz",4
"56",0.500691341,0.42366,0.0889,241.162,0.549,-8.531,0.767727748,230.342,0.0889,180.149,"soft rock",4
"57",0.338414819,0.49054,0.49054,122.64444,0.99,-8.541,0.43483809,109.627,0.05812,102.538,"easy listening",4
"58",0.523699078,8.99358,2.31778,207.0722,2.583,-6.629,0.38293509,202.757,2.31778,84.164,"dance rock",4
"59",0.383524247,1.1612,0.67535,300.79955,0,-13.33,0.610474258,298.347,0.42142,124.175,"singer-songwriter",4
"60",0.481655862,0.02909,0.02909,228.46649,0,-12.412,0.226555314,228.466,0.02909,137.004,"experimental rock",1
"61",0.380704536,0.96617,0.3834,239.59465,0.311,-21.552,0.415983118,236.507,0.08155,106.33,"meditation",4
"62",0.396855869,1.06091,0.50472,228.93669,0.338,-8.686,NA,219.574,0.22871,107.961,"ccm",4
"63",0.45755391,0.38387,0.38387,165.61587,2.171,-6.222,0,165.616,0.21142,174.287,"speedcore",3
"64",0.788805935,1.18583,0.15226,187.92444,0.328,-5.907,0.685940227,180.344,0.15226,116.823,"southern rock",4
"65",0.30004649,1.1958,0.01968,276.50567,0.299,-4.638,0,261.956,0.01968,101.972,"zouk",4
"66",0.189314878,0.89225,0.41788,200.25424,0,-5.884,NA,194.844,0.1801,127.97,"trance",4
"67",0.554291489,0.76754,0.29609,144.50893,0.237,-7.787,0.671236027,140.057,0.0586,152.622,"punk",4
"68",0.26803784,0.1737,0.1737,285.17832,0,-8.488,NA,275.853,0.1737,110.787,"suomi rock",3
"69",0.466826993,1.74155,0.67947,246.69995,0.322,-9.603,0.62616576,224.049,0.42263,112.903,"rock",4
"70",0.30045446,0.36508,0.36508,84.03546,0.328,-26.266,0,75.79,0.11188,115.642,"easy listening",4
"71",0.266275286,1.21595,0.25377,273.52771,2.177,-6.305,0.199238262,268.893,0.25377,125.013,"gabba",4
"72",0.337507289,0.36873,0.36873,298.84036,19.093,-9.998,0.265861049,289.46,0.16818,113.277,"ccm",4
"73",0.36366811,0.98426,0.36334,161.38404,0.165,-9.161,0.237733942,161.384,0.05327,96.979,"pop rap",4
"74",0.579988982,0.34761,0.34761,209.29261,0,-4.865,0.82448213,206.623,0.14268,140.995,"heavy metal",1
"75",1.005941966,1.1904,0.63902,229.61587,0,-4.882,0.624425493,213.664,0.36332,105.206,"hip hop",4
"76",0.598458501,1.76242,0.80838,426.89261,0.286,-12.951,0.635536649,399.9,0.33137,63.017,"industrial metal",4
"77",0.479407676,0.85641,0.44094,269.26975,3.889,-11.751,NA,262.798,0.23321,144.603,"rock",4
"78",0.139247394,0.50432,0.14912,249.41669,0.647,-6.693,0.198785349,238.434,0.14912,167.92,"freestyle",4
"79",0.389100776,0.06727,0.06727,136.48934,0.229,-9.091,NA,130.026,0.06727,129.122,"brill building pop",1
"80",0.322485106,0.64544,0.19348,233.27302,0.386,-2.658,0,231.178,0.19348,132.022,"melodic hardcore",4
"81",0.335651839,0.302,0.302,187.24526,0.107,-4.42,0.249065795,178.625,0.13943,183.92,"british pop",1
"82",0.453391186,0.73058,0.73058,72.61995,0,-11.051,NA,68.365,0.56271,89.867,"heavy metal",4
"83",0.364384925,1.21926,0.19064,272.63955,2.775,-9.97,NA,272.64,0.19064,119.896,"chanson",5
"84",0.481024239,0.09896,0.09896,142.75873,0.218,-11.335,NA,135.546,0.09896,137.29,"country rock",4
"85",0.343281882,0.52519,0.52519,194.11546,0.089,-15.581,0.382723281,182.729,0.15887,82.343,"country rock",1
"86",0.386669092,1.87142,0.61665,195.91791,0.165,-11.98,NA,192.087,0.20411,91.487,"folk-pop",4
"87",0.538070295,3.56292,0.22888,118.33424,0,-11.215,NA,118.334,0.22888,84.69,"easy listening",5
"88",0.552413346,0.68393,0.15338,288.41751,0.113,-8.165,0.725121284,279.179,0.15338,115.606,"stoner metal",4
"89",0.347598889,0.14694,0.14694,123.21914,1.001,-12.69,NA,118.079,0.14694,126.523,"western swing",1
"90",0.398547535,0.72006,0.18905,283.76771,0,-8.7,0.665172241,271.83,0.18905,113.677,"indie rock",4
"91",0.421415103,1.76995,0.38749,239.3073,0.182,-5.758,0.554654768,220.264,0.04274,86.938,"rap rock",4
"92",0.404182207,0.55647,0.13404,206.75873,0.096,-4.907,0.304169503,193.115,0.13404,141.936,"indie rock",4
"93",0.313569343,0.24456,0.24456,134.81751,0,-8.133,NA,130.723,0.24456,106.049,"ranchera",1
"94",0.148985481,1.1332,0.66297,285.64853,0.397,-9.093,NA,274.727,0.42645,126.88,"chanson",4
"95",0.493566843,2.95336,0.65164,124.18567,0,-10.296,0.57010593,121.005,0.16161,85.008,"hip hop",5
"96",0.31781096,0.14324,0.14324,134.08608,4.441,-12.839,NA,130.38,0.14324,133.699,"german pop",1
"97",0.331090126,0.23005,0.23005,155.61098,0.154,-13.71,NA,150.75,0.23005,118.975,"easy listening",1
"98",0.349192218,0.94655,0.35387,275.40853,0,-2.119,NA,272.556,0.35387,102.408,"breakcore",4
"99",0.316354001,1.38242,0.33359,223.4771,0.291,-14.438,0,220.026,0.33359,112.006,"hard bop",4
"100",0.317833879,10.84083,1.34066,443.24526,0.23,-13.002,0.270775999,430.736,0.33736,45.527,"free jazz",4
"101",0.345751247,1.66153,0.96449,177.81506,0.554,-12.004,NA,167.48,0.61541,85.621,"shoegaze",4
"102",0.277561738,1.59705,0.49298,385.33179,3.048,-8.37,NA,382.647,0.07835,108.061,"chill-out",4
"103",0.432011947,0.95031,0.38454,324.44036,0,-11.829,0.405115722,312.239,0.38454,216.195,"gospel",5
"104",0.325148571,0.8598,0.41287,275.12118,0.34,-6.29,0.242741879,272.933,0.41287,132.428,"blues-rock",4
"105",0.414892612,0.15435,0.15435,294.66077,0.864,-15.761,0.386790177,282.564,0.15435,168.307,"latin jazz",4
"106",0.391585329,0.56594,0.14386,193.20118,0.497,-27.433,NA,190.003,0.14386,140.956,"chanson",7
"107",0.384184259,0.6235,0.16237,357.82485,0.131,-5.701,0.511254835,353.785,0.16237,130.016,"tech house",5
"108",0.412671631,0.41054,0.0684,198.3473,0.201,-8.709,0.460484845,182.184,0.0684,175.769,"hip hop",4
"109",0.628246419,0.2688,0.2688,261.95546,0,-13.627,0.488289876,253.452,0.2688,100.194,"country",3
"110",0.374271174,0.87289,0.4435,176.27383,0.183,-11.479,NA,166.911,0.23251,151.911,"roots reggae",4
"111",0.384146444,1.0873,0.58561,220.89098,0,-6.302,NA,213.107,0.34041,119.691,"freakbeat",4
"112",0.393215104,0.56138,0.19121,235.91138,0.322,-10.466,NA,219.725,0.19121,161.976,"chicago soul",4
"113",0.405178359,0.18671,0.18671,239.59465,0.31,-9.275,NA,231.3,0.18671,172.398,"blues-rock",1
"114",0.28404741,1.49595,0.42142,171.49342,0.085,-37.398,0,165.216,0.1441,109.823,"jazz fusion",3
"115",0.343185045,0.63247,0.63247,266.05669,0.23,-13.836,0,256.064,0.26631,90.101,"delta blues",1
"116",0.601184942,1.00904,0.49144,329.27302,0.45,-7.103,0.345802234,322.101,0.23264,116.473,"new jack swing",4
"117",0,0.97322,0.49835,198.922,0.228,-13.495,0.333554807,190.705,0.26092,126.821,"piedmont blues",4
"118",0.422472423,1.46125,0.36893,283.21914,0.258,-15.144,0.617365618,277.467,0.0982,111.191,"jazz funk",3
"119",0.335101425,1.23225,0.75354,238.68036,0.386,-12.991,NA,230.742,0.50536,125.508,"male vocalist",4
"120",0.437964733,0.49594,0.49594,254.06649,0.43,-6.01,0.394394856,249.562,0.24195,137.888,"chanson",1
"121",0.281284216,1.01631,0.21294,184.31955,0.798,-5.58,NA,178.503,0.21294,150.012,"ghetto tech",4
"122",0.33406579,0.60781,0.05514,311.40526,0,-4.313,NA,300.118,0.05514,108.367,"dance pop",4
"123",0.403509673,0.44814,0.09927,162.53342,0.524,-17.285,0.374796837,151.551,0.09927,173.482,"country rock",4
"124",0.566971566,1.31008,0.22523,212.37506,0.868,-5.931,NA,209.438,0.08957,110.745,"stoner metal",4
"125",0.372251208,1.06691,0.59466,338.33751,0,-14.248,0.265861049,328.986,0.59466,130.027,"singer-songwriter",4
"126",0.326848818,0.71979,0.17426,126.51057,0,-12.651,0.233796474,121.702,0.17426,110.168,"blues-rock",4
"127",0,1.11556,0.44532,205.58322,0.612,-16.056,NA,182.323,0.11215,97.976,"guitar",3
"128",0.363177861,0.62823,0.62823,193.4624,2.717,-5.913,0.215080319,184.274,0.62823,119.979,"pop rap",4
"129",0.345809443,0.95881,0.95881,127.4771,2.148,-5.541,NA,118.195,0.76143,156.968,"progressive house",1
"130",0.318902078,0.61434,0.29768,234.762,0.101,-6.019,NA,227.84,0.13935,188.886,"hip hop",4
"131",0.498395338,0.65257,0.20769,292.8322,3.344,-4.953,0.466304831,273.589,0.20769,133.306,"post-grunge",4
"132",0.301502462,0.92398,0.92398,241.10975,2.659,-18.114,0.480610618,230.429,0.92398,152.267,"singer-songwriter",3
"133",0.459665457,0.72495,0.36318,270.68036,0.334,-11.061,0.26568338,267.906,0.36318,166.275,"gospel",4
"134",0.431526919,0.80573,0.29176,188.73424,0,-7.04,NA,178.463,0.29176,114.971,"blue-eyed soul",4
"135",0.32188269,0.63479,0.22404,211.80036,0.175,-15.358,NA,202.443,0.22404,144.651,"latin jazz",4
"136",0.351210537,0.07332,0.07332,254.32771,0,-11.213,NA,249.858,0.07332,152.005,"vocal house",1
"137",0.273453727,0.27702,0.27702,210.36363,0.364,-5.904,NA,201.497,0.08387,155.074,"los angeles",1
"138",0.446890727,0.03212,0.03212,301.81832,2.566,-8.095,0.345802234,289.332,0.03212,61.971,"lovers rock",1
"139",0.507965802,0.34798,0.34798,416.80934,0,-7.982,0.82517354,396.533,0.0276,124.04,"experimental rock",5
"140",0.424931835,0.47649,0.16066,413.36118,0,-8.804,0,408.503,0.16066,191.196,"arabesque",4
"141",0.550762085,0.58065,0.16757,117.002,0,-5.699,NA,114.712,0.16757,152.127,"grunge",4
"142",0.682263177,0.71063,0.10911,217.36444,0.224,-5.152,0.73738531,212.161,0.10911,100.023,"dance pop",4
"143",0.42251494,0.21429,0.21429,122.72281,4.418,-9.965,NA,117.034,0.05795,192.688,"rock",4
"144",0.383877494,0.78649,0.38868,203.98975,0.161,-11.976,0.47212112,182.921,0.19413,154.322,"blues-rock",4
"145",0.339408486,0.55637,0.2978,192.44363,0.485,-10.229,0,178.66,0.2978,236.006,"bossa nova",4
"146",0.382869956,0.94607,0.15349,285.36118,0,-6.284,0.392008772,274.715,0.15349,150.666,"zouk",5
"147",0.466826993,0.14825,0.14825,225.12281,0,-3.818,NA,203.593,0.14825,175.421,"rock",1
"148",0.32138373,0.58192,0.10684,123.66322,0,-4.633,NA,119.705,0.10684,104.153,"thrash core",4
"149",0.3370893,0.64665,0.17678,525.16526,0.148,-5.602,NA,513.724,0.17678,127.278,"folk-pop",4
"150",0.544446277,0.64194,0.26421,204.06812,0.415,-5.157,0.236420182,193.562,0.07628,160.165,"ccm",4
"151",0.349192218,1.58691,0.18064,166.00771,0,-1.925,NA,162.366,0.18064,86.091,"breakcore",3
"152",0.555968804,0.28332,0.28332,219.01016,0.235,-5.21,NA,203.233,0.0827,149.94,"dance pop",4
"153",0.350327605,0.20197,0.20197,127.9473,0.165,-12.717,0.444401715,123.222,0.20197,135.78,"easy listening",4
"154",0.306603641,1.15604,0.29463,570.90567,0.15,-12.28,NA,538.372,0.08551,122.967,"tech house",4
"155",0.362238747,0.6938,0.27306,230.00771,0,-9.748,NA,226.708,0.0611,142.024,"frevo",4
"156",0.395709548,0.89888,0.48245,240.74404,0,-4.878,0.543052864,240.744,0.48245,135.535,"black metal",7
"157",0.380704536,0.1659,0.1659,192.20853,0.357,-23.988,0.608500079,183.229,0.1659,139.189,"meditation",3
"158",0,1.8618,0.05108,152.0322,0.479,-9.414,NA,143.871,0.05108,128.598,"serialism",5
"159",0.409134869,1.07333,0.35811,215.30077,0.588,-9.741,0,208.376,0.18068,163.445,"roots reggae",4
"160",0.603876487,1.14709,0.07152,155.21914,0,-11.965,NA,147.673,0.07152,114.027,"bluegrass",3
"161",0.31401179,0.23374,0.23374,207.12444,0.352,-12.779,NA,192.447,0.23374,111.316,"jazz funk",1
"162",0.60797181,2.24039,1.67818,428.56444,4.267,-8.403,0.659304669,414.697,1.67818,105.994,"grunge",3
"163",0.507781667,1.61011,1.61011,185.7824,3.059,-13.251,NA,174.556,1.26705,88.489,"vocal jazz",1
"164",0.574274731,0.80159,0.29973,654.28853,3.048,-5.884,0.626612803,638.462,0.29973,118.433,"alternative metal",4
"165",0.433945514,1.1645,0.5406,306.72934,0,-6.929,0.270775999,276.149,0.22825,96.007,"flamenco",4
"166",0.246340714,0.33922,0.33922,229.51138,3.233,-4.198,NA,222.285,0.17961,187.807,"blues-rock",4
"167",0.413393911,0.23293,0.23293,205.58322,0,-6.998,NA,202.931,0.23293,181.115,"gangster rap",4
"168",0.379436972,0.98812,0.17951,127.05914,0.322,-12.772,0.494489518,114.724,0.17951,148.357,"honky tonk",4
"169",0.512226738,0.89966,0.46147,44.35546,0,-18.147,0.304169503,44.355,0.46147,136.164,"electronica",4
"170",0.426944256,1.15739,0.69791,203.83302,2.067,-7.661,NA,195.117,0.69791,126.941,"vocal house",4
"171",0.283562596,0.95034,0.55728,176.50893,0.497,-17.308,NA,165.535,0.55728,159.582,"country gospel",3
"172",0.476559379,0.82038,0.04246,140.66893,0.078,-28.347,0.519448582,135.285,0.04246,89.495,"hardcore punk",4
"173",0.456940558,0.36695,0.36695,201.09016,0,-2.869,NA,201.09,0.05221,102.259,"heavy metal",3
"174",0.360583582,0.7081,0.09479,254.79791,0,-7.309,0,236.141,0.09479,107.529,"post-grunge",3
"175",0.370194701,1.79615,0.56961,143.0722,0.32,-15.351,0,133.724,0.26777,99.408,"brill building pop",4
"176",0.250601286,0.93377,0.20126,163.49995,2.171,-25.694,0,156.212,0.20126,79.731,"easy listening",4
"177",0.389765518,0.27257,0.27257,289.64526,0,-9.435,0,286.18,0.27257,188.502,"tejano",1
"178",0.376688631,0.30566,0.30566,124.15955,0.38,-4.793,0.405652196,122.015,0.10118,133.729,"pop rock",1
"179",0.399451724,0.64009,0.19422,167.3922,0.131,-17.623,0.445454526,163.149,0.19422,139.136,"chill-out",4
"180",0.572583336,0.93541,0.32747,321.35791,0,-6.2,NA,312.761,0.17724,193.693,"sympho black metal",4
"181",0.361509802,0.67486,0.67486,263.94077,0.429,-19.821,NA,248.123,0.2855,76.693,"chamber jazz",4
"182",0.220050765,0.84998,0.37847,341.36771,0,-9.632,NA,324.679,0.1433,126.95,"dancehall",4
"183",0.327858925,0.12319,0.12319,333.13914,0,-5.671,NA,317.719,0.12319,144.812,"hard house",1
"184",0,0.74492,0.30222,349.12608,0,-11.708,NA,338.506,0.08142,138.003,"rap",4
"185",0.598458501,0.70514,0.11379,168.56771,0,-16.968,NA,159.637,0.11379,130.284,"industrial metal",4
"186",0.297949266,0.57605,0.15761,350.71955,0.519,-13.038,0,334.17,0.15761,152.013,"gaita",4
"187",0.272190152,0.44875,0.07709,175.62077,0.148,-10.647,NA,167.358,0.07709,159.968,"honky tonk",4
"188",0.373464228,1.65865,0.20148,190.24934,0,-4.172,0.543052864,185.289,0.20148,75.031,"grime",4
"189",0.461558452,0.87245,0.19248,255.16363,2.67,-10.756,NA,248.337,0.19248,150.837,"new romantic",4
"190",0.247340584,0.37179,0.37179,120.2673,0.502,-3.422,NA,116.013,0.17,143.231,"happy hardcore",1
"191",0.306603641,0.95309,0.46982,557.26975,0,-12.26,NA,508.54,0.23362,123.993,"tech house",4
"192",0.33238987,0.80806,0.80806,187.53261,0,-23.527,0.350979506,180.355,0.40014,97.981,"texas blues",1
"193",0.342406391,0.40638,0.40638,295.60118,2.125,-9.435,NA,290.65,0.40638,137.288,"modern rock",4
"194",0.295470991,0.1805,0.1805,252.02893,0.149,-8.639,0,252.029,0.1805,168.323,"brazil",4
"195",0.389535576,1.64757,0.3732,329.35138,0,-7.672,0.570850642,316.883,0.05381,111.079,"future jazz",4
"196",0.312131222,0.89743,0.4445,180.00934,0.258,-13.668,0,171.648,0.21804,133.009,"bossa nova",4
"197",0.276702625,4.45323,2.817,244.45342,0,-6.885,0.235846203,227.794,2.67534,146.577,"breakbeat",5
"198",0.599602643,1.34587,0.47161,282.53995,0.351,-4.2,NA,275.522,0.25359,140.458,"black metal",3
"199",0.415517083,1.43656,0.98655,388.28363,2.49,-16.433,0.26396982,383.994,0.75243,132.506,"dance rock",4
"200",0.467110649,1.09248,0.70219,345.93914,0.416,-6.951,0.447135796,339.754,0.50562,153.862,"blues-rock",4
"201",0,0.57581,0.57581,243.1473,0.525,-14.737,0,235.886,0.57581,93.238,"french pop",4
"202",0.537537201,0.45372,0.45372,261.74649,3.489,-9.628,0.714046553,250.921,0.20062,124.086,"dance rock",4
"203",0,0.18093,0.18093,172.25098,0.449,-8.46,NA,165.727,0.18093,66.765,"greek",1
"204",0.549204384,0.65479,0.24895,216.60689,0.177,-3.736,0.413739836,214.192,0.0445,145.518,"punk",4
"205",0.852186238,0.11182,0.11182,363.59791,0.09,-4.376,NA,353.913,0.11182,139.998,"r&b",4
"206",0,1.69231,0.3668,271.77751,0,-6.947,0.319565987,267.761,0.14552,90.648,"breakbeat",3
"207",0,0.5637,0.13425,330.65751,0.229,-12.279,NA,324.261,0.13425,140.334,"opera",4
"208",0.453435791,0.34565,0.34565,133.27628,0,-15.736,0.360370583,117.661,0.34565,89.86,"folk-pop",1
"209",0.535408379,0.43373,0.05059,264.69832,0,-5.871,0.566988444,251.141,0.05059,156.097,"ska",4
"210",0.333649141,0.3145,0.3145,228.51873,0.229,-12.053,NA,223.37,0.14212,179.501,"british invasion",1
"211",0.313989733,0.16804,0.16804,240.3522,0.132,-6.248,NA,233.465,0.16804,86.689,"turnablism",3
"212",0.305074263,1.02179,0.6454,145.57995,0,-13.703,NA,140.527,0.45764,160.261,"pop folk",5
"213",0.371760895,1.97986,0.13473,235.80689,0.131,-9.716,0.253834736,235.807,0.13473,101.03,"jazz fusion",4
"214",0.349476327,0.68185,0.2964,192.1824,0.27,-6.258,0.519403046,192.182,0.10319,155.038,"alternative hip hop",4
"215",0.36228409,1.58983,0.39362,418.87302,0.264,-11.702,0.437351761,411.481,0.09325,117.168,"chicago blues",3
"216",0.351624469,0.17434,0.17434,198.26893,0,-14.509,0.676548906,193.782,0.17434,132.967,"latin jazz",1
"217",0.354725755,1.72068,1.29819,420.10077,7.367,-9.062,NA,412.473,1.07786,139.91,"breakbeat",4
"218",0.446071584,1.86974,0.57631,397.26975,0.392,-6.788,0.460541281,397.27,0.25336,95.882,"stoner metal",4
"219",0.353000688,0.68126,0.23462,229.79873,0.205,-12.772,0.495293621,226.441,0.08525,135.175,"blues-rock",3
"220",0.173067999,1.26047,0.2832,150.64771,0,-9.258,NA,144.62,0.03978,121.983,"western swing",3
"221",0.341904574,1.04714,0.68669,286.14485,0.485,-24.597,NA,271.946,0.50692,169.775,"latin jazz",3
"222",0.27238546,0.74275,0.30755,384.70485,0.254,-8.161,NA,351.01,0.30755,137.862,"doom metal",4
"223",0.365339653,0.47165,0.47165,415.03302,0,-6.751,0,372.663,0.23761,83.326,"hard house",3
"224",0.3008559,0.62429,0.62429,133.53751,2.235,-29.295,NA,133.538,0.62429,117.667,"world beat",3
"225",0.343275661,0.6871,0.6871,266.70975,0,-12.658,NA,257.225,0.24622,90.908,"twee pop",3
"226",0.819588282,1.03982,0.25338,284.3424,0.206,-6.546,NA,267.685,0.05455,151.953,"rock",4
"227",0.47722519,0.88942,0.88942,179.06893,0.844,-17.522,0,175.92,0.88942,161.054,"teen pop",4
"228",0.366743932,0.76458,0.38884,100.5971,1.268,-10.777,NA,100.597,0.20097,159.895,"doom metal",5
"229",0.317248425,1.11054,0.1732,320.60036,0,-9.993,0,303.044,0.1732,128.219,"smooth jazz",4
"230",0.314882184,3.12601,2.53688,302.36689,14.588,-12.99,0,284.595,2.23347,101.229,"power pop",4
"231",0.322468155,0.52245,0.52245,284.70812,0,-8.339,NA,274.448,0.19975,98.859,"latin pop",4
"232",0.498668875,0.89509,0.4155,327.8624,0.38,-6.531,0.688521844,316.447,0.17571,125.975,"techno",4
"233",0.555138322,0.44481,0.05666,286.30159,0.177,-6.933,0.557880389,273.601,0.05666,154.09,"gangster rap",4
"234",0.442652003,0.93982,0.46604,356.49261,0.276,-4.178,NA,356.493,0.14177,124.237,"viking metal",4
"235",0.52040786,0.95072,0.33341,168.75057,0.281,-8.91,0,165.86,0.33341,97.099,"gangster rap",4
"236",0.5890868,0.46699,0.46699,201.56036,0,-2.069,NA,201.56,0.25665,140.63,"rap metal",1
"237",0.282286406,0.58716,0.58716,185.67791,0.234,-16.844,NA,178.765,0.30595,101.41,"chicago blues",1
"238",0.625080481,0.54425,0.25604,218.8273,0.194,-3.803,0.696469437,218.827,0.113,186.254,"hardcore punk",4
"239",0.374449431,0.5551,0.26867,303.04608,0.102,-10.57,0.215080319,292.664,0.12794,210.47,"gabba",4
"240",0.558298348,0.74834,0.11878,224.522,0,-6.694,NA,214.941,0.11878,94.057,"rap metal",4
"241",0.353034056,0.12893,0.12893,315.27138,0,-16.753,NA,303.45,0.12893,100.349,"requiem",1
